"","X","Jar.No","Sample.ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic.code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","X13C","day","cacq","Rep","original_c","c_added","SOC_std"
"45",45,45,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",55.7625667550971,83.8679948453731,10.9862982208214,1.43700873842858,6.08,107.771147427753,47.6203950072233,35.4673991107339,20.1653701702845,0.116,2.194,-18.440448239057,15,175.556912605261,"1",NA,10.0086,2.19211478128809
"46",46,46,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",56.0132625632553,33.8161522921396,18.378632760612,0.666493972238859,6.14,81.6503290526632,36.425511980984,32.8309009273974,10.1659407780735,0.109,1.136,-26.3187498157191,15,128.241781811721,"2",NA,0,NA
"47",47,47,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",52.7479956488162,61.6991820434788,11.6635482308697,0.749260814373222,6.12,89.2840971374262,39.1587989406872,35.8374807302597,8.3866114382513,0.115,2.763,-31.2677317077631,15,136.829507516365,"2",NA,17.2274,1.60384039379129
"48",48,48,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",58.4920360242862,62.6589715717115,7.71529295849273,0.40777775757571,6.06,91.2850956441304,37.6709225498048,34.5026276308244,9.18168237418189,0.111,2.08,-22.6821436165766,15,138.137700568117,"2",NA,11.1866666666667,1.85935637663886
"49",49,49,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",56.6141782735448,184.911832523701,0.0014,0.325746397107998,7.05,66.4636477080147,27.9888665940689,135.954384822456,15.0996542075256,0.114,1.905,-20.7252164075778,15,109.552168509609,"2",NA,9.43873333333334,2.01827928888763
"50",50,50,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",59.9015814199696,63.7411813106207,18.5857906931561,1.52877115658686,6.11,82.8117001138687,36.1472692381186,35.3266253202762,9.10065165171008,0.109,2.111,-20.4368377857761,15,128.059621003697,"2",NA,10.0086,2.10918609995404
"51",51,51,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",58.4324942030358,72.6737530096627,17.1168589762113,0.32484535872139,6.14,83.545996032671,39.053368091028,40.4773789692068,9.30020857381221,0.111,1.158,-26.357200298626,15,131.899572697511,"3",NA,0,NA
"52",52,52,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",52.6009699143048,59.1208715276828,18.0410913840367,0.672969880279887,6.09,89.3275202136529,38.0487175657622,42.3012763599712,9.98308133392427,0.116,2.709,-31.1301194531489,15,137.359319113339,"3",NA,17.2274,1.57249497892892
"53",53,53,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",52.5920344600062,85.6556877259257,10.3770615859334,0.330705276874932,6.26,92.8514797300964,38.4387437436488,42.1029434051312,10.4550509506185,0.111,2.331,-21.4739889694491,15,141.745274424364,"3",NA,11.1866666666667,2.08373063170441
"54",54,54,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",50.5140533250337,174.69555265069,1.95844301725418,0.32694448390304,7.08,70.0820758858732,29.5992966832544,135.343044356343,15.8151841146618,0.111,1.934,-20.6918251987376,15,115.496556683789,"3",NA,9.43873333333334,2.04900375050325
"55",55,55,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",53.7479923809524,65.3988027061222,18.0971505343893,0.499845112168229,6.06,100.025703461286,40.5918213890898,42.8596021430947,8.81317870216187,0.109,2.094,-20.1221509388274,15,149.430703552538,"3",NA,10.0086,2.09220070739164
"56",56,56,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",50.1748145465975,83.8578415211948,19.2826351695341,0.586100159388315,6.13,110.645879198799,45.6540793223397,44.2794417724936,9.30401450771522,0.11,1.147,-26.3238090897858,15,165.603973028854,"4",NA,0,NA
